X,Index,CHEMBL_ID,PUBCHEM_CID,IUPAC_Name,Original_SMILES,Original_InChi,Original_InChiKey,DSSTOX_SUBSTANCE_ID,CASRN,PREFERRED_NAME,Canonical_QSARr,InChI_Code_QSARr,InChIKey_QSARr,Salt_Solvent,Salt_Solvent_ID,QC_Level,CalculatedLogPapp,PappClass,Source,tr_tst,outliers,Envi.Che_CERAPP,Envi.Che_COMPARA,Envi.Che_CPDAT,Envi.Che_REFCHEMDB,Envi.Che_TSCA_ACTIVE_NCTI,overlap.lable
1443,Caco-372,?,?,NA,OC(=O)C1=CN(C2CC2)C2=CC(=C(F)C=C2C1=O)N1CCNCC1,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N,DTXSID8022824,85721-33-1,ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(=C(F)C=C2C1=O)N1CCNCC1,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",MYSWGUAQZAJSOK-UHFFFAOYSA-N,<undefined>,0,High,-5.3629701,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1456,Caco-188,?,?,NA,COCCOC1C=CC(=CC=1)N1CCN(CCN2N=CC3C4=NC(=NN4C(N)=NC2=3)C2=CC=CO2)CC1,"InChI=1S/C25H29N9O3/c1-35-15-16-36-19-6-4-18(5-7-19)32-11-8-31(9-12-32)10-13-33-23-20(17-27-33)24-28-22(21-3-2-14-37-21)30-34(24)25(26)29-23/h2-7,14,17H,8-13,15-16H2,1H3,(H2,26,29)",DTYWJKSSUANMHD-UHFFFAOYSA-N,DTXSID90191219,377727-87-2,preladenant,COCCOC1C=CC(=CC=1)N1CCN(CCN2N=CC3C4=NC(=NN4C(N)=NC2=3)C2=CC=CO2)CC1,"InChI=1S/C25H29N9O3/c1-35-15-16-36-19-6-4-18(5-7-19)32-11-8-31(9-12-32)10-13-33-23-20(17-27-33)24-28-22(21-3-2-14-37-21)30-34(24)25(26)29-23/h2-7,14,17H,8-13,15-16H2,1H3,(H2,26,29)",DTYWJKSSUANMHD-UHFFFAOYSA-N,<undefined>,0,High,-5.3499999,3,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1457,Caco-1468,?,?,NA,CC(=O)OCC1CS[C@@H]2[C@H](NC(=O)CC3=CC=CS3)C(=O)N2C=1C(O)=O,"InChI=1S/C16H16N2O6S2/c1-8(19)24-6-9-7-26-15-12(14(21)18(15)13(9)16(22)23)17-11(20)5-10-3-2-4-25-10/h2-4,12,15H,5-7H2,1H3,(H,17,20)(H,22,23)/t12-,15-/m1/s1",XIURVHNZVLADCM-IUODEOHRSA-N,DTXSID4022783,153-61-7,cephalothin,CC(=O)OCC1CSC2C(NC(=O)CC3=CC=CS3)C(=O)N2C=1C(O)=O,"InChI=1S/C16H16N2O6S2/c1-8(19)24-6-9-7-26-15-12(14(21)18(15)13(9)16(22)23)17-11(20)5-10-3-2-4-25-10/h2-4,12,15H,5-7H2,1H3,(H,17,20)(H,22,23)",XIURVHNZVLADCM-UHFFFAOYSA-N,<undefined>,0,High,-5.348722,3,Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1458,Caco-534,?,?,NA,CC1=CN([C@H]2C=C[C@@H](CO)O2)C(=O)NC1=O,"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1",XNKLLVCARDGLGL-JGVFFNPUSA-N,DTXSID1023819,3056-17-5,stavudine,CC1=CN(C2C=CC(CO)O2)C(=O)NC1=O,"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)",XNKLLVCARDGLGL-UHFFFAOYSA-N,<undefined>,0,High,-5.3483939,3,Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1467,Caco-1026,?,?,NA,NCC(=O)CCC(O)=O,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",ZGXJTSGNIOSYLO-UHFFFAOYSA-N,DTXSID8048490,106-60-5,aminolevulinic acid,NCC(=O)CCC(O)=O,"InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)",ZGXJTSGNIOSYLO-UHFFFAOYSA-N,<undefined>,0,High,-5.3400002,3,Wang,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1503,Caco-392,?,?,NA,CC(C)C1=C(C(=C(C2C=CC(F)=CC=2)N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1C=CC=CC=1)C(=O)NC1C=CC=CC=1,"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1",XUKUURHRXDUEBC-KAYWLYCHSA-N,DTXSID8029868,134523-00-5,atorvastatin,CC(C)C1=C(C(=C(C2C=CC(F)=CC=2)N1CCC(O)CC(O)CC(O)=O)C1C=CC=CC=1)C(=O)NC1C=CC=CC=1,"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)",XUKUURHRXDUEBC-UHFFFAOYSA-N,<undefined>,0,High,-5.3099999,3,Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1510,Caco-719,?,?,NA,CC1N=CC=C2C=1NC1C=C(O)C=CC=12,"InChI=1S/C12H10N2O/c1-7-12-10(4-5-13-7)9-3-2-8(15)6-11(9)14-12/h2-6,14-15H,1H3",SATMZMMKDDTOSQ-UHFFFAOYSA-N,DTXSID10876697,487-03-6,harmol,CC1N=CC=C2C=1NC1C=C(O)C=CC=12,"InChI=1S/C12H10N2O/c1-7-12-10(4-5-13-7)9-3-2-8(15)6-11(9)14-12/h2-6,14-15H,1H3",SATMZMMKDDTOSQ-UHFFFAOYSA-N,<undefined>,0,High,-5.302259,3,Wang,1,1,N,N,N,Y,N,N&N&N&Y&N
1530,Caco-3606,CHEMBL1614725,?,NA,CC(C)(O)CC(=O)NCCN1C=CC2N=CN=C(NC3=CC(Cl)=C(C=C3)OC3C=C(C=CC=3)C(F)(F)F)C1=2,"InChI=1S/C26H25ClF3N5O3/c1-25(2,37)14-22(36)31-9-11-35-10-8-20-23(35)24(33-15-32-20)34-17-6-7-21(19(27)13-17)38-18-5-3-4-16(12-18)26(28,29)30/h3-8,10,12-13,15,37H,9,11,14H2,1-2H3,(H,31,36)(H,32,33,34)",ZYQXEVJIFYIBHZ-UHFFFAOYSA-N,DTXSID10236136,871026-44-7,TAK-285,CC(C)(O)CC(=O)NCCN1C=CC2N=CN=C(NC3=CC(Cl)=C(C=C3)OC3C=C(C=CC=3)C(F)(F)F)C1=2,"InChI=1S/C26H25ClF3N5O3/c1-25(2,37)14-22(36)31-9-11-35-10-8-20-23(35)24(33-15-32-20)34-17-6-7-21(19(27)13-17)38-18-5-3-4-16(12-18)26(28,29)30/h3-8,10,12-13,15,37H,9,11,14H2,1-2H3,(H,31,36)(H,32,33,34)",ZYQXEVJIFYIBHZ-UHFFFAOYSA-N,<undefined>,NA,High,-5.296708622,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
1533,Caco-3621,CHEMBL337301,?,NA,COC1C=CN=C2NC=C(C=12)C(=O)C(=O)N1CCN(C[C@@H]1C)C(=O)C1C=CC=CC=1,"InChI=1S/C22H22N4O4/c1-14-13-25(21(28)15-6-4-3-5-7-15)10-11-26(14)22(29)19(27)16-12-24-20-18(16)17(30-2)8-9-23-20/h3-9,12,14H,10-11,13H2,1-2H3,(H,23,24)/t14-/m0/s1",OKGPFTLYBPQBIX-AWEZNQCLSA-N,DTXSID50189258,357263-14-0,"Piperazine, 4-benzoyl-1-(2-(4-methoxy-1H-pyrrolo(2,3-b)pyridin-3-yl)-1,2-dioxoethyl)-2-methyl-, (2S)-",COC1C=CN=C2NC=C(C=12)C(=O)C(=O)N1CCN(CC1C)C(=O)C1C=CC=CC=1,"InChI=1S/C22H22N4O4/c1-14-13-25(21(28)15-6-4-3-5-7-15)10-11-26(14)22(29)19(27)16-12-24-20-18(16)17(30-2)8-9-23-20/h3-9,12,14H,10-11,13H2,1-2H3,(H,23,24)",OKGPFTLYBPQBIX-UHFFFAOYSA-N,<undefined>,NA,High,-5.292429824,3,CHEMBL,1,1,N,Y,N,N,N,N&Y&N&N&N
1542,Caco-3632,CHEMBL218490,?,NA,C[C@H]1C[C@H](NCC)C2C=C(SC=2S1(=O)=O)S(N)(=O)=O,"InChI=1S/C10H16N2O4S3/c1-3-12-8-4-6(2)18(13,14)10-7(8)5-9(17-10)19(11,15)16/h5-6,8,12H,3-4H2,1-2H3,(H2,11,15,16)/t6-,8-/m0/s1",IAVUPMFITXYVAF-XPUUQOCRSA-N,DTXSID7022960,120279-96-1,Dorzolamide,CC1CC(NCC)C2C=C(SC=2S1(=O)=O)S(N)(=O)=O,"InChI=1S/C10H16N2O4S3/c1-3-12-8-4-6(2)18(13,14)10-7(8)5-9(17-10)19(11,15)16/h5-6,8,12H,3-4H2,1-2H3,(H2,11,15,16)",IAVUPMFITXYVAF-UHFFFAOYSA-N,<undefined>,NA,High,-5.283996656,3,CHEMBL,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1550,Caco-42,?,?,NA,OC1C=C2O[C@@H](CC(=O)C2=C(O)C=1)C1=CC(O)=C(O)C=C1,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,DTXSID70877706,552-58-9,eriodictyol,OC1C=C2OC(CC(=O)C2=C(O)C=1)C1=CC(O)=C(O)C=C1,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2",SBHXYTNGIZCORC-UHFFFAOYSA-N,<undefined>,0,High,-5.2800002,3,Wang,1,1,N,N,Y,N,N,N&N&Y&N&N
1551,Caco-3233,CHEMBL878|?,?,NA,CC1=CC=CC=C1N1C(C)NC2=CC(Cl)=C(C=C2C1=O)S(N)(=O)=O,"InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)",AQCHWTWZEMGIFD-UHFFFAOYSA-N,DTXSID6045167,17560-51-9,Metolazone,CC1=CC=CC=C1N1C(C)NC2=CC(Cl)=C(C=C2C1=O)S(N)(=O)=O,"InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)",AQCHWTWZEMGIFD-UHFFFAOYSA-N,<undefined>,0,High,-5.2798405,3,CHEMBL|Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1552,Caco-3642,CHEMBL1163,?,NA,CC(C)(C)[C@H](NC(=O)OC)C(=O)N[C@@H](CC1C=CC=CC=1)[C@@H](O)CN(CC1C=CC(=CC=1)C1C=CC=CN=1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C,"InChI=1S/C38H52N6O7/c1-37(2,3)31(41-35(48)50-7)33(46)40-29(22-25-14-10-9-11-15-25)30(45)24-44(43-34(47)32(38(4,5)6)42-36(49)51-8)23-26-17-19-27(20-18-26)28-16-12-13-21-39-28/h9-21,29-32,45H,22-24H2,1-8H3,(H,40,46)(H,41,48)(H,42,49)(H,43,47)/t29-,30-,31+,32+/m0/s1",AXRYRYVKAWYZBR-GASGPIRDSA-N,DTXSID9048691,198904-31-3,Atazanavir,CC(C)(C)C(NC(=O)OC)C(=O)NC(CC1C=CC=CC=1)C(O)CN(CC1C=CC(=CC=1)C1C=CC=CN=1)NC(=O)C(NC(=O)OC)C(C)(C)C,"InChI=1S/C38H52N6O7/c1-37(2,3)31(41-35(48)50-7)33(46)40-29(22-25-14-10-9-11-15-25)30(45)24-44(43-34(47)32(38(4,5)6)42-36(49)51-8)23-26-17-19-27(20-18-26)28-16-12-13-21-39-28/h9-21,29-32,45H,22-24H2,1-8H3,(H,40,46)(H,41,48)(H,42,49)(H,43,47)",AXRYRYVKAWYZBR-UHFFFAOYSA-N,<undefined>,NA,High,-5.27572413,3,CHEMBL,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1559,Caco-1474,?,?,NA,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,"InChI=1S/C15H17FN4O3/c1-2-19-8-10(15(22)23)12(21)9-7-11(16)14(18-13(9)19)20-5-3-17-4-6-20/h7-8,17H,2-6H2,1H3,(H,22,23)",IDYZIJYBMGIQMJ-UHFFFAOYSA-N,DTXSID5022984,74011-58-8,enoxacin,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,"InChI=1S/C15H17FN4O3/c1-2-19-8-10(15(22)23)12(21)9-7-11(16)14(18-13(9)19)20-5-3-17-4-6-20/h7-8,17H,2-6H2,1H3,(H,22,23)",IDYZIJYBMGIQMJ-UHFFFAOYSA-N,<undefined>,0,High,-5.26774145,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1561,Caco-3651,CHEMBL1614712,?,NA,NC1=NC=NC2=C1C(=CN2C1CC(CN2CCC2)C1)C1=CC(=CC=C1)OCC1C=CC=CC=1,"InChI=1S/C27H29N5O/c28-26-25-24(21-8-4-9-23(14-21)33-17-19-6-2-1-3-7-19)16-32(27(25)30-18-29-26)22-12-20(13-22)15-31-10-5-11-31/h1-4,6-9,14,16,18,20,22H,5,10-13,15,17H2,(H2,28,29,30)",AECDBHGVIIRMOI-UHFFFAOYSA-N,DTXSID60467110,475489-16-8,NVP-AEW541,NC1=NC=NC2=C1C(=CN2C1CC(CN2CCC2)C1)C1=CC(=CC=C1)OCC1C=CC=CC=1,"InChI=1S/C27H29N5O/c28-26-25-24(21-8-4-9-23(14-21)33-17-19-6-2-1-3-7-19)16-32(27(25)30-18-29-26)22-12-20(13-22)15-31-10-5-11-31/h1-4,6-9,14,16,18,20,22H,5,10-13,15,17H2,(H2,28,29,30)",AECDBHGVIIRMOI-UHFFFAOYSA-N,<undefined>,NA,High,-5.26760624,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
1576,Caco-1135,?,?,NA,CC(C)(C)C1C=CC(=CC=1)C(O)CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1,"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3",GUGOEEXESWIERI-UHFFFAOYSA-N,DTXSID2023642,50679-08-8,terfenadine,CC(C)(C)C1C=CC(=CC=1)C(O)CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1,"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3",GUGOEEXESWIERI-UHFFFAOYSA-N,<undefined>,0,High,-5.2600002,3,Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1577,Caco-210,?,?,NA,NC1C=CC(=CC=1)S(N)(=O)=O,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)",FDDDEECHVMSUSB-UHFFFAOYSA-N,DTXSID4023622,63-74-1,sulfanilamide,NC1C=CC(=CC=1)S(N)(=O)=O,"InChI=1S/C6H8N2O2S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,7H2,(H2,8,9,10)",FDDDEECHVMSUSB-UHFFFAOYSA-N,<undefined>,0,High,-5.2600002,3,Wang,1,1,Y,Y,Y,Y,Y,Y&Y&Y&Y&Y
1588,Caco-3699,CHEMBL558198,?,NA,Cl.CN(C)CC1=NC=CN1C1=CC(F)=C(C=C1)NC(=O)C1=CC(=NN1C1=CC2C(N)=NOC=2C=C1)C(F)(F)F,"InChI=1S/C24H20F4N8O2.ClH/c1-34(2)12-21-30-7-8-35(21)13-3-5-17(16(25)10-13)31-23(37)18-11-20(24(26,27)28)32-36(18)14-4-6-19-15(9-14)22(29)33-38-19;/h3-11H,12H2,1-2H3,(H2,29,33)(H,31,37);1H",CASCTHHMARGRLB-UHFFFAOYSA-N,DTXSID10193598,405940-76-3,Razaxaban Hydrochloride,CN(C)CC1=NC=CN1C1=CC(F)=C(C=C1)NC(=O)C1=CC(=NN1C1=CC2C(N)=NOC=2C=C1)C(F)(F)F,"InChI=1S/C24H20F4N8O2/c1-34(2)12-21-30-7-8-35(21)13-3-5-17(16(25)10-13)31-23(37)18-11-20(24(26,27)28)32-36(18)14-4-6-19-15(9-14)22(29)33-38-19/h3-11H,12H2,1-2H3,(H2,29,33)(H,31,37)",OFJRNBWSFXEHSA-UHFFFAOYSA-N,Cl,NA,High,-5.251811973,3,CHEMBL,1,1,N,Y,N,Y,N,N&Y&N&Y&N
1609,Caco-2920,CHEMBL15770|?,?,NA,CC1/C(=C/C2=CC=C(C=C2)S(C)=O)/C2C=CC(F)=CC=2C=1CC(O)=O,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-",MLKXDPUZXIRXEP-MFOYZWKCSA-N,DTXSID4023624,38194-50-2,Sulindac,CC1C(=CC2=CC=C(C=C2)S(C)=O)C2C=CC(F)=CC=2C=1CC(O)=O,"InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)",MLKXDPUZXIRXEP-UHFFFAOYSA-N,<undefined>,0,High,-5.2368288,3,CHEMBL|Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1616,Caco-1473,?,?,NA,C[C@@H](NCCCC1C=C(C=CC=1)C(F)(F)F)C1=CC=CC2=CC=CC=C21,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/t16-/m1/s1",VDHAWDNDOKGFTD-MRXNPFEDSA-N,DTXSID8048286,226256-56-0,cinacalcet,CC(NCCCC1C=C(C=CC=1)C(F)(F)F)C1=CC=CC2=CC=CC=C21,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3",VDHAWDNDOKGFTD-UHFFFAOYSA-N,<undefined>,0,High,-5.2365718,3,Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1627,Caco-331,?,?,NA,CC1=NC=CC2=C1NC1=CC=CC=C21,"InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3",PSFDQSOCUJVVGF-UHFFFAOYSA-N,DTXSID80197568,486-84-0,Harman,CC1=NC=CC2=C1NC1=CC=CC=C21,"InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3",PSFDQSOCUJVVGF-UHFFFAOYSA-N,<undefined>,0,High,-5.223299,3,Wang,1,1,N,Y,N,Y,N,N&Y&N&Y&N
1653,Caco-703,?,?,NA,OC1=CC2OC(=CC(=O)C=2C=C1)C1C=CC(O)=CC=1,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-8,16-17H",LCAWNFIFMLXZPQ-UHFFFAOYSA-N,DTXSID50176365,2196-14-7,"4',7-dihydroxyflavone",OC1=CC2OC(=CC(=O)C=2C=C1)C1C=CC(O)=CC=1,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-8,16-17H",LCAWNFIFMLXZPQ-UHFFFAOYSA-N,<undefined>,0,High,-5.2123351,3,Wang,1,1,N,N,N,Y,N,N&N&N&Y&N
1656,Caco-3778,CHEMBL2017684,?,NA,NC(=O)CN1CCN(CC2=NC(=NO2)C2=CN(CC3CCOCC3)C3C(Cl)=CC=CC2=3)CC1,"InChI=1S/C23H29ClN6O3/c24-19-3-1-2-17-18(13-30(22(17)19)12-16-4-10-32-11-5-16)23-26-21(33-27-23)15-29-8-6-28(7-9-29)14-20(25)31/h1-3,13,16H,4-12,14-15H2,(H2,25,31)",AKWUNZFZIXEOPV-UHFFFAOYSA-N,DTXSID50648411,1050478-18-6,"2-{4-[(3-{7-Chloro-1-[(oxan-4-yl)methyl]-1H-indol-3-yl}-1,2,4-oxadiazol-5-yl)methyl]piperazin-1-yl}acetamide",NC(=O)CN1CCN(CC2=NC(=NO2)C2=CN(CC3CCOCC3)C3C(Cl)=CC=CC2=3)CC1,"InChI=1S/C23H29ClN6O3/c24-19-3-1-2-17-18(13-30(22(17)19)12-16-4-10-32-11-5-16)23-26-21(33-27-23)15-29-8-6-28(7-9-29)14-20(25)31/h1-3,13,16H,4-12,14-15H2,(H2,25,31)",AKWUNZFZIXEOPV-UHFFFAOYSA-N,<undefined>,NA,High,-5.207608311,3,CHEMBL,1,1,N,N,N,Y,N,N&N&N&Y&N
1667,Caco-1309,?,?,NA,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@@H](C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O)N(C)C,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25,27-29,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",JBIWCJUYHHGXTC-AKNGSSGZSA-N,DTXSID0037653,564-25-0,doxycycline,CC1C2C(C(=O)C3C1=CC=CC=3O)C(=O)C1(O)C(C(C(=O)C(C(N)=O)C1=O)N(C)C)C2O,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,12-15,17,25,27,32H,1-3H3,(H2,23,31)",VXVNYCRICCVPTD-UHFFFAOYSA-N,<undefined>,0,High,-5.20584765,3,Wang|Pham,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1688,Caco-1042,?,?,NA,COC1=CC=C(C=C1)C1OC2C=C(O)C=C(O)C=2C(=O)C=1O,"InChI=1S/C16H12O6/c1-21-10-4-2-8(3-5-10)16-15(20)14(19)13-11(18)6-9(17)7-12(13)22-16/h2-7,17-18,20H,1H3",SQFSKOYWJBQGKQ-UHFFFAOYSA-N,DTXSID9034155,491-54-3,kaempferide,COC1C=CC(=CC=1)C1OC2C=C(O)C=C(O)C=2C(=O)C1=O,"InChI=1S/C16H12O6/c1-21-10-4-2-8(3-5-10)16-15(20)14(19)13-11(18)6-9(17)7-12(13)22-16/h2-7,16-18H,1H3",JEBOWSYUKBGGEE-UHFFFAOYSA-N,<undefined>,0,High,-5.1900001,3,Wang,1,1,N,Y,N,Y,N,N&Y&N&Y&N
1697,Caco-3254,CHEMBL1483|?,?,NA,CCCSC1C=C2N=C(NC(=O)OC)NC2=CC=1,"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",HXHWSAZORRCQMX-UHFFFAOYSA-N,DTXSID0022563,54965-21-8,Albendazole,CCCSC1C=C2N=C(NC(=O)OC)NC2=CC=1,"InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)",HXHWSAZORRCQMX-UHFFFAOYSA-N,<undefined>,0,High,-5.1870866,3,CHEMBL|Wang|Pham,1,1,Y,Y,Y,Y,N,Y&Y&Y&Y&N
1698,Caco-3556,CHEMBL129|?,?,NA,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1",HBOMLICNUCNMMY-XLPZGREQSA-N,DTXSID8020127,30516-87-1,3'-Azido-3'-deoxythymidine,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)",HBOMLICNUCNMMY-UHFFFAOYSA-N,<undefined>,0,High,-5.1850867,3,CHEMBL|Wang,1,1,N,Y,Y,Y,N,N&Y&Y&Y&N
1706,Caco-104,?,?,NA,COC1C(O)=CC2OC(=CC(=O)C=2C=1O)C1C=CC(O)=CC=1,"InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3",IHFBPDAQLQOCBX-UHFFFAOYSA-N,DTXSID30162786,1447-88-7,hispidulin,COC1C(O)=CC2OC(=CC(=O)C=2C=1O)C1C=CC(O)=CC=1,"InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3",IHFBPDAQLQOCBX-UHFFFAOYSA-N,<undefined>,0,High,-5.1799998,3,Wang,1,1,N,N,N,Y,N,N&N&N&Y&N
